tid,tconst,averageRating,numVotes
953,tt12538614,6.9,101
955,tt1644575,7.8,59
956,tt12543172,6.3,224
958,tt12539094,8.1,46
959,tt12541163,7.1,128
960,tt1591903,7.1,9
963,tt12534721,6.9,50
966,tt12541409,3.6,9
967,tt12544944,8.0,15
968,tt12538844,8.1,18
969,tt12544734,9.1,9
970,tt12536018,6.0,45
971,tt2196603,6.9,33
972,tt12541147,8.6,7
974,tt10011176,6.6,9
975,tt12536019,6.0,46
977,tt12538450,6.2,8
978,tt12545794,6.4,8
980,tt2257246,5.5,131
981,tt12100536,6.5,32
982,tt12538236,6.9,11047
983,tt12534347,7.8,554
984,tt7493294,6.1,12
985,tt12533071,6.4,8
986,tt12545975,6.4,141
988,tt12532705,1.3,33
989,tt12544185,6.7,5
990,tt12545207,6.2,524
991,tt12544010,5.0,5
994,tt12545397,5.2,17
995,tt12542407,7.3,5
997,tt5044186,6.4,143
999,tt12543703,7.1,164
1001,tt12543430,6.8,16
1002,tt12531669,10.0,8
1004,tt2035561,6.5,10
1005,tt12539178,6.8,6
1008,tt1967616,5.3,6
1009,tt12535450,8.1,6
1010,tt12537877,3.4,252
1012,tt0085273,5.6,435
1013,tt12545734,6.7,28
1017,tt12540499,6.7,10
1018,tt12543269,5.3,26
1020,tt0393068,6.3,6
1022,tt12542026,4.2,64
1024,tt12540296,6.0,10
1025,tt12532304,5.8,482
1026,tt12539407,5.6,433
1030,tt12534374,8.6,15
1033,tt12541591,6.2,423128
1034,tt12541762,5.9,155
1035,tt12545328,6.8,14
1037,tt12541086,8.2,10
1038,tt12542021,6.7,333
1040,tt12534045,6.2,13
1043,tt12539387,6.3,8
1044,tt12533063,7.5,110
1048,tt0288289,5.8,6
1049,tt3822730,6.5,13
1051,tt12533515,8.8,2
1052,tt12545635,7.0,438
1053,tt12532585,5.8,6
1054,tt12545686,7.7,25
1056,tt12531864,4.8,2141
1058,tt12532061,8.7,14
1059,tt12533483,7.9,15
1063,tt0277359,7.3,11
1064,tt12539476,8.2,10
1065,tt12541275,5.9,11911
1066,tt12545792,6.4,16
1067,tt12540108,6.2,2823
1068,tt12543660,7.1,11
1069,tt12535244,5.3,11
1071,tt12533643,6.2,23
1072,tt12535691,7.8,13
1073,tt12533307,7.7,65
1074,tt6736186,4.5,34
1077,tt12537302,6.3,32
1078,tt12533249,6.1,228
1079,tt12538605,8.6,46
1080,tt12534199,6.0,83
1083,tt0372046,8.2,9
1084,tt12534382,7.5,6
1085,tt12536209,7.3,3042
1087,tt5236976,7.0,12
1091,tt1545323,4.9,10
1092,tt12537609,6.1,3
1093,tt12537183,8.6,6
1094,tt12541305,5.9,15
1095,tt0232677,8.1,46
1096,tt12543285,6.3,15
1098,tt12542310,6.9,24
1099,tt12541654,6.5,24
1100,tt0207280,5.7,9
1101,tt12540081,7.3,52
1102,tt12537876,3.1,250
1104,tt12534405,5.1,41
1105,tt12545808,5.4,130
1109,tt0043750,6.2,21
1110,tt12535784,8.7,28004
1112,tt1202151,5.6,9
1113,tt12536863,7.6,76
1114,tt1461698,5.1,94
1116,tt12540377,5.5,38
1117,tt12544296,4.9,1
1118,tt12544907,8.5,11
1119,tt1024760,3.5,6
1120,tt12536747,5.0,10
1122,tt4134634,4.7,68
1123,tt3778126,5.3,313
1124,tt12540202,5.5,16
1128,tt12544456,5.0,8
1129,tt0258172,3.0,33
1130,tt0227853,6.8,53
1131,tt7980288,7.0,6
1133,tt0008915,7.2,6
1135,tt12533227,7.4,14
1136,tt12535858,6.9,343
1137,tt12543823,4.5,18
1138,tt12533178,5.0,6
1141,tt12531364,4.0,175
1142,tt7612392,5.1,53
1143,tt12538648,5.4,17
1147,tt2017708,6.4,8
1150,tt12532200,7.0,5
1151,tt12538564,5.0,3
1152,tt0161597,6.8,6
1153,tt12534826,7.2,6
1154,tt5535270,8.4,487
1155,tt1636495,7.8,8
1156,tt9473520,6.8,8
1157,tt0431579,5.4,34
1158,tt12541952,8.0,32
1159,tt12543528,7.1,7
1161,tt12542017,7.7,6
1163,tt12543718,8.5,1998
1164,tt12544460,8.0,140
1165,tt12544263,7.4,60
1166,tt12545261,3.4,34
1167,tt12541632,5.3,8
1169,tt12542016,7.5,6
1170,tt0407961,6.4,7
1171,tt12542631,7.3,261
1173,tt12533065,7.5,119
1175,tt12536751,8.7,8
1176,tt12539538,8.6,18
1177,tt12536301,6.6,7
1178,tt12544736,9.6,0
1181,tt0395147,7.1,78
1183,tt12544616,6.5,33
1186,tt1373383,7.6,8
1187,tt12540403,7.4,50
1188,tt12534346,7.4,564
1189,tt12532663,5.7,181
1190,tt0336822,6.9,41
1191,tt12542027,4.4,55
1193,tt0165972,6.9,41
1196,tt12543211,5.0,0
1197,tt12543484,7.1,456
1199,tt12531396,5.8,28
1200,tt12543235,5.8,14
1201,tt0109082,5.0,5
1202,tt2391875,7.1,7
1204,tt9426804,7.2,36
1207,tt1575622,5.5,15
1209,tt2305139,6.1,28
1210,tt1505891,7.3,6
1211,tt12544421,6.7,10
1214,tt12533927,7.3,11
1215,tt12540975,6.8,12
1216,tt0949506,6.0,231
1219,tt12545653,5.1,56
1220,tt12533346,7.1,349
1221,tt12532967,6.7,49
1222,tt12532332,6.9,371
1223,tt12541149,6.2,13
1224,tt12542686,5.0,12
1225,tt12542919,7.1,14
1226,tt9435488,7.1,23
1227,tt12533427,6.2,4070
1228,tt12534134,6.4,8
1231,tt12536814,6.8,24
1232,tt12543976,7.1,14
1233,tt12532718,6.1,26
1236,tt0247196,7.2,23529
1237,tt1846673,5.4,138
1238,tt12537617,5.9,5459
1239,tt12541331,3.5,125
1240,tt12534491,5.5,31
1241,tt12535460,8.1,16
1244,tt12544633,6.4,19
1245,tt12543569,8.6,385
1246,tt12536621,5.9,86
1248,tt12533087,5.4,138
1250,tt12541797,7.1,28
1251,tt12543860,5.2,31
1254,tt12537391,6.0,231
1255,tt10525592,6.9,39
1256,tt12545567,7.5,13
1257,tt7512512,6.5,38
1258,tt1863203,4.4,1186
1259,tt12531159,7.4,215
1260,tt12534241,5.4,1553
1262,tt12534574,6.6,6453
1264,tt2112944,7.5,6
1266,tt12542571,5.9,13
1267,tt4295286,4.0,7
1272,tt12540308,3.6,21
1273,tt12534973,6.4,15
1275,tt12541067,6.1,238
1278,tt0090825,4.7,20
1279,tt0800080,6.7,423130
1280,tt6416520,7.5,66
